sentence_id|generated_sentence|language
LJ001-0038|while in fourteen seventy at Paris Udalric Gering and his associates turned out the first books printed in France, also in Roman character.|English
LJ001-0039|The Roman type of all these printers is similar in character,|English
LJ001-0040|and is very simple and legible, and unaffectedly designed for use; but it is by no means without beauty.|English
LJ001-0041|It must be said that it is in no way like the transition type of Subiaco,|English
LJ001-0042|and though more Roman than that, yet scarcely more like the complete Roman type of the earliest printers of Rome.|English
LJ001-0043|A further development of the Roman letter took place at Venice.|English
LJ001-0044|John of Spires and his brother Vindelin, followed by Nicholas Jenson, began to print in that city,|English
LJ001-0045|fourteen sixty-nine, fourteen seventy;|English
LJ001-0046|their type is on the lines of the German and French rather than of the Roman printers.|English
LJ001-0047|Of Jenson it must be said that he carried the development of Roman type as far as it can go:|English
LJ001-0048|his letter is admirably clear and regular, but at least as beautiful as any other Roman type.|English
LJ001-0049|"After his death in the ""fourteen eighties,"" or at least by fourteen ninety, printing in Venice had declined very much;"|English
LJ001-0050|and though the famous family of Aldus restored its technical excellence, rejecting battered letters,|English
LJ001-0051|"and paying great attention to the ""press work"" or actual process of printing,"|English
LJ001-0052|yet their type is artistically on a much lower level than Jenson's, and in fact|English
LJ001-0053|they must be considered to have ended the age of fine printing in Italy.|English
LJ001-0054|Jenson, however, had many contemporaries who used beautiful type,|English
LJ001-0055|some of which -- as, e.g., that of Jacobus Rubeus or Jacques le Rouge -- is scarcely distinguishable from his.|English
LJ001-0056|It was these great Venetian printers, together with their brethren of Rome, Milan,|English
LJ001-0057|Parma, and one or two other cities, who produced the splendid editions of the Classics, which are one of the great glories of the printer's art,|English
LJ001-0058|and are worthy representatives of the eager enthusiasm for the revived learning of that epoch. By far,|English
LJ001-0059|the greater part of these Italian printers, it should be mentioned, were Germans or Frenchmen, working under the influence of Italian opinion and aims.|English
LJ001-0060|It must be understood that through the whole of the fifteenth and the first quarter of the sixteenth centuries|English
LJ001-0061|the Roman letter was used side by side with the Gothic.|English
LJ001-0062|Even in Italy most of the theological and law books were printed in Gothic letter,|English
LJ001-0063|which was generally more formally Gothic than the printing of the German workmen,|English
LJ001-0064|many of whose types, indeed, like that of the Subiaco works, are of a transitional character.|English
LJ001-0065|This was notably the case with the early works printed at Ulm, and in a somewhat lesser degree at Augsburg.|English
LJ001-0066|In fact Gunther Zeiner's first type (afterwards used by Schussler) is remarkably like the type of the before-mentioned Subiaco books.|English
LJ001-0067|In the Low Countries and Cologne, which were very fertile of printed books, Gothic was the favorite.|English
LJ001-0068|The characteristic Dutch type, as represented by the excellent printer Gerard Leew, is very pronounced and uncompromising Gothic.|English
LJ001-0069|This type was introduced into England by Wynkyn de Worde, Caxton's successor,|English
LJ001-0070|and was used there with very little variation all through the sixteenth and seventeenth centuries, and indeed into the eighteenth.|English
LJ001-0071|Most of Caxton's own types are of an earlier character, though they also much resemble Flemish or Cologne letter.|English
LJ001-0072|After the end of the fifteenth century the degradation of printing, especially in Germany and Italy,|English
LJ001-0073|went on apace; and by the end of the sixteenth century there was no really beautiful printing done:|English
LJ001-0074|the best, mostly French or Low-Country, was neat and clear, but without any distinction;|English
LJ001-0075|the worst, which perhaps was the English, was a terrible falling-off from the work of the earlier presses;|English
LJ001-0076|and things got worse and worse through the whole of the seventeenth century, so that in the eighteenth printing was very miserably performed.|English
LJ001-0077|In England about this time, an attempt was made (notably by Caslon, who started business in London as a type-founder in seventeen twenty)|English
LJ001-0078|to improve the letter in form.|English
LJ001-0079|Caslon's type is clear and neat, and fairly well designed;|English
LJ001-0080|he seems to have taken the letter of the Elzevirs of the seventeenth century for his model:|English
LJ001-0081|type cast from his matrices is still in everyday use.|English
LJ001-0082|In spite, however, of his praiseworthy efforts, printing had still one last degradation to undergo.|English
LJ001-0083|The seventeenth century founts were bad rather negatively than positively.|English
LJ001-0084|But for the beauty of the earlier work they might have seemed tolerable.|English
LJ001-0085|It was reserved for the founders of the later eighteenth century to produce letters which are positively ugly, and which, it may be added,|English
LJ001-0086|are dazzling and unpleasant to the eye owing to the clumsy thickening and vulgar thinning of the lines:|English
LJ001-0087|for the seventeenth-century letters are at least pure and simple in line. The Italian, Bodoni, and the Frenchman, Didot,|English
LJ001-0088|were the leaders in this luckless change, though our own Baskerville, who was at work some years before them, went much on the same lines;|English
LJ001-0089|but his letters, though uninteresting and poor, are not nearly so gross and vulgar as those of either the Italian or the Frenchman.|English
LJ001-0090|With this change the art of printing touched bottom,|English
LJ001-0091|so far as fine printing is concerned, though paper did not get to its worst till about eighteen forty.|English
LJ001-0092|The Chiswick press in eighteen forty-four revived Caslon's founts, printing for Messrs. Longman the Diary of Lady Willoughby.|English
LJ001-0093|This experiment was so far successful that about eighteen fifty Messrs. Miller and Richard of Edinburgh|English
LJ001-0094|"were induced to cut punches for a series of ""old style"" letters."|English
LJ001-0095|These and similar founts, cast by the above firm and others,|English
LJ001-0096|"have now come into general use and are obviously a great improvement on the ordinary ""modern style"" in use in England, which is in fact the Bodoni type"|English
LJ001-0097|"a little reduced in ugliness. The design of the letters of this modern ""old style"" leaves a good deal to be desired,"|English
LJ001-0098|and the whole effect is a little too gray, owing to the thinness of the letters.|English
LJ001-0099|It must be remembered, however, that most modern printing is done by machinery on soft paper, and not by the hand press,|English
LJ001-0100|and these somewhat wiry letters are suitable for the machine process, which would not do justice to letters of more generous design.|English
LJ001-0101|It is discouraging to note that the improvement of the last fifty years is almost wholly confined to Great Britain.|English
LJ001-0102|Here and there a book is printed in France or Germany with some pretension to good taste,|English
LJ001-0103|but the general revival of the old forms has made no way in those countries.|English
LJ001-0104|Italy is contentedly stagnant.|English
LJ001-0105|America has produced a good many showy books, the typography, paper, and illustrations of which are, however, all wrong,|English
LJ001-0106|oddity rather than rational beauty and meaning being apparently the thing sought for both in the letters and the illustrations.|English
LJ001-0107|To say a few words on the principles of design in typography:|English
LJ001-0108|it is obvious that legibility is the first thing to be aimed at in the forms of the letters;|English
LJ001-0109|this is best furthered by the avoidance of irrational swellings and spiky projections, and by the using of careful purity of line.|English
LJ001-0110|Even the Caslon type when enlarged shows great shortcomings in this respect:|English
LJ001-0111|the ends of many of the letters such as the t and e are hooked up in a vulgar and meaningless way,|English
LJ001-0112|instead of ending in the sharp and clear stroke of Jenson's letters;|English
LJ001-0113|there is a grossness in the upper finishings of letters like the c, the a, and so on,|English
LJ001-0114|an ugly pear-shaped swelling defacing the form of the letter:|English
LJ001-0115|in short, it happens to this craft, as to others, that the utilitarian practice, though it professes to avoid ornament,|English
LJ001-0116|still clings to a foolish, because misunderstood conventionality, deduced from what was once ornament, and is by no means useful;|English
LJ001-0117|which title can only be claimed by artistic practice, whether the art in it be conscious or unconscious.|English
LJ001-0118|In no characters is the contrast between the ugly and vulgar illegibility of the modern type|English
LJ001-0119|and the elegance and legibility of the ancient more striking than in the Arabic numerals.|English
LJ001-0120|In the old print each figure has its definite individuality, and one cannot be mistaken for the other;|English
LJ001-0121|in reading the modern figures the eyes must be strained before the reader can have any reasonable assurance|English
LJ001-0122|that he has a five, an eight, or a three before him, unless the press work is of the best:|English
LJ001-0123|this is awkward if you have to read Bradshaw's Guide in a hurry.|English
LJ001-0124|One of the differences between the fine type and the utilitarian must probably be put down to a misapprehension of a commercial necessity:|English
LJ001-0125|this is the narrowing of the modern letters.|English
LJ001-0126|Most of Jenson's letters are designed within a square,|English
LJ001-0127|the modern letters are narrowed by a third or thereabout; but while this gain of space very much hampers the possibility of beauty of design,|English
LJ001-0128|it is not a real gain, for the modern printer throws the gain away by putting inordinately wide spaces between his lines, which, probably,|English
LJ001-0129|the lateral compression of his letters renders necessary.|English
LJ001-0130|Commercialism again compels the use of type too small in size to be comfortable reading:|English
LJ001-0131|"the size known as ""Long primer"" ought to be the smallest size used in a book meant to be read."|English
LJ001-0132|"Here, again, if the practice of ""leading"" were retrenched larger type could be used without enhancing the price of a book."|English
LJ001-0133|"One very important matter in ""setting up"" for fine printing is the ""spacing,"" that is, the lateral distance of words from one another."|English
LJ001-0134|In good printing the spaces between the words should be as near as possible equal|English
LJ001-0135|it is impossible that they should be quite equal except in lines of poetry|English
LJ001-0136|modern printers understand this, but it is only practiced in the very best establishments.|English
LJ001-0137|But another point which they should attend to they almost always disregard;|English
LJ001-0138|"this is the tendency to the formation of ugly meandering white lines or ""rivers"" in the page"|English
LJ001-0139|a blemish which can be nearly, though not wholly, avoided by care and forethought|English
LJ001-0140|"the desirable thing being ""the breaking of the line"" as in bonding masonry or brickwork"|English
LJ001-0141|The general solidity of a page is much to be sought for|English
LJ001-0142|"modern printers generally overdo the ""whites"" in the spacing, a defect probably forced on them by the characterless quality of the letters."|English
LJ001-0143|For where these are boldly and carefully designed, and each letter is thoroughly individual in form,|English
LJ001-0144|the words may be set much closer together, without loss of clearness.|English
LJ001-0145|"No definite rules, however, except the avoidance of ""rivers"" and excess of white, can be given for the spacing,"|English
LJ001-0146|which requires the constant exercise of judgment and taste on the part of the printer.|English
LJ001-0147|The position of the page on the paper should be considered if the book is to have a satisfactory look.|English
LJ001-0148|Here once more the almost invariable modern practice is in opposition to a natural sense of proportion.|English
LJ001-0149|From the time when books first took their present shape till the end of the sixteenth century, or indeed later,|English
LJ001-0150|the page so lay on the paper that there was more space allowed to the bottom and fore margin than to the top and back of the paper,|English
LJ001-0151|the unit of the book being looked on as the two pages forming an opening.|English
LJ001-0152|The modern printer, in the teeth of the evidence given by his own eyes, considers the single page as the unit, and prints the page in the middle of his paper|English
LJ001-0153|only nominally so, however, in many cases, since when he uses a headline he counts that in,|English
LJ001-0154|the result as measured by the eye being that the lower margin is less than the top one, and that the whole opening has an upside-down look vertically|English
LJ001-0155|and that laterally the page looks as if it were being driven off the paper.|English
LJ001-0156|The paper on which the printing is to be done is a necessary part of our subject:|English
LJ001-0157|of this it may be said that though there is some good paper made now,|English
LJ001-0158|it is never used except for very expensive books, although it would not materially increase the cost in all but the very cheapest.|English
LJ001-0159|The paper that is used for ordinary books is exceedingly bad even in this country, but is beaten in the race for vileness|English
LJ001-0160|by that made in America, which is the worst conceivable.|English
LJ001-0161|There seems to be no reason why ordinary paper should not be better made,|English
LJ001-0162|even allowing the necessity for a very low price; but any improvement must be based on showing openly that the cheap article is cheap,|English
LJ001-0163|e.g. the cheap paper should not sacrifice toughness and durability to a smooth and white surface,|English
LJ001-0164|which should be indications of a delicacy of material and manufacture which would of necessity increase its cost.|English
LJ001-0165|One fruitful source of badness in paper|English
LJ001-0166|is the habit that publishers have of eking out a thin volume by printing it on thick paper almost of the substance of cardboard,|English
LJ001-0167|a device which deceives nobody, and makes a book very unpleasant to read.|English
LJ001-0168|On the whole, a small book should be printed on paper which is as thin as may be without being transparent.|English
LJ001-0169|The paper used for printing the small highly ornamented French service-books about the beginning of the sixteenth century is a model in this respect,|English
LJ001-0170|being thin, tough, and opaque.|English
LJ001-0171|However, the fact must not be blinked that machine-made paper cannot in the nature of things be made of so good a texture as that made by hand.|English
LJ001-0172|The ornamentation of printed books is too wide a subject to be dealt with fully here; but one thing must be said on it.|English
LJ001-0173|The essential point to be remembered is that the ornament, whatever it is, whether picture or pattern-work, should form part of the page,|English
LJ001-0174|should be a part of the whole scheme of the book.|English
LJ001-0175|Simple as this proposition is, it is necessary to be stated,|English
LJ001-0176|because the modern practice is to disregard the relation between the printing and the ornament altogether,|English
LJ001-0177|so that if the two are helpful to one another it is a mere matter of accident.|English
LJ001-0178|The due relation of letter to pictures and other ornament was thoroughly understood by the old printers; so that|English
LJ001-0179|even when the woodcuts are very rude indeed,|English
LJ001-0180|the proportions of the page still give pleasure by the sense of richness that the cuts and letter together convey.|English
LJ001-0181|When, as is most often the case, there is actual beauty in the cuts,|English
LJ001-0182|the books so ornamented are amongst the most delightful works of art that have ever been produced.|English
LJ001-0183|Therefore, granted well-designed type, due spacing of the lines and words, and proper position of the page on the paper,|English
LJ001-0184|all books might be at least comely and well-looking: and if to these good qualities were added really beautiful ornament and pictures,|English
LJ001-0185|printed books might once again illustrate to the full|English
LJ001-0186|the position of our Society that a work of utility might be also a work of art, if we cared to make it so.|English
LJ002-0001|The Chronicles of Newgate, Volume two. By Arthur Griffiths. Section four: Newgate down to eighteen eighteen.|English
LJ002-0002|Under the conditions referred to in the previous chapter,|English
LJ002-0003|with criminals and misdemeanants of all shades crowding perpetually into its narrow limits, the latter state of Newgate was worse than the first.|English
LJ002-0004|The new jail fell as far short of the demands made on it as did the old.|English
LJ002-0005|The prison population fluctuated a great deal,|English
LJ002-0006|but it was almost always in excess of the accommodation available, and there were times when the place was full to overflowing.|English
LJ002-0007|Neild gives some figures which well illustrate this.|English
LJ002-0008|On the fourteenth June, eighteen hundred, there were one hundred ninety-nine debtors and two hundred eighty-nine felons in the prison.|English
LJ002-0009|On the twenty-seventh April, in the following year,|English
LJ002-0010|these numbers had risen to two hundred seventy-five and three hundred seventy-five respectively, or six hundred fifty in all.|English
LJ002-0011|For two more years these high figures were steadily maintained, and in eighteen oh three the total rose to seven hundred ten.|English
LJ002-0012|After that they fell as steadily,|English
LJ002-0013|till, eighteen oh eight, the lowest point was touched of one hundred ninety-seven debtors and one hundred eighty-two felons, or three hundred seventy-nine in all.|English
LJ002-0014|The numbers soon increased, however, and by eighteen eleven had again risen to six hundred twenty-nine; and Mr. Neild was told that there had been at one time|English
LJ002-0015|three hundred debtors and nine hundred criminals in Newgate, or twelve hundred prisoners in all.|English
LJ002-0016|Previous to that date there had been seven hundred or eight hundred frequently, and once, in Mr. Akerman's time, one thousand.|English
LJ002-0017|Trustworthy evidence is forthcoming to the effect that these high figures were constantly maintained for many months at a time.|English
LJ002-0018|The inadequacy of the jail was noticed and reported upon again and again by the grand juries of the city of London,|English
LJ002-0019|who seldom let a session go by without visiting Newgate.|English
LJ002-0020|In eighteen thirteen|English
LJ002-0021|the grand jury made a special presentment to the Court of Common Council, pointing out that on the debtors' side, which was intended for only one hundred,|English
LJ002-0022|no less than three hundred forty were crowded, to the great inconvenience and danger of the inmates.|English
LJ002-0023|On the female side matters were much worse;|English
LJ002-0024|Quote. the apartments set apart for them, being built to accommodate sixty persons, now contain about one hundred twenty. End quote.|English
LJ002-0025|Returns laid before the House of Commons showed that six thousand, four hundred thirty-nine persons had been committed to Newgate|English
LJ002-0026|in the three years between eighteen thirteen and eighteen sixteen,|English
LJ002-0027|and this number did not include the debtors, a numerous class, who were still committed to Newgate pending the completion of the White Cross Street prison.|English
LJ002-0028|In order to realize the evils entailed by incarceration in Newgate in these days, it is necessary to give some account of its interior|English
LJ002-0029|as it was occupied and appropriated in eighteen ten.|English
LJ002-0030|"Full details of the arrangements are to be found in Mr. Neild's ""State of Prisons in England, Scotland, and Wales,"" published in eighteen twelve."|English
LJ002-0031|The jail at that date was divided into eight separate and more or less distinct departments, each of which had its own wards and yard.|English
LJ002-0032|These were: one. The male debtors' side.|English
LJ002-0033|two. The female debtors' side. three. The chapel yard. four. The middle yard.|English
LJ002-0034|five. The master felons' side. six. The female felons' side. seven. The state side.|English
LJ002-0035|eight. The press yard.|English
LJ002-0036|one. The male debtors' side consisted of a yard forty-nine feet by thirty-one,|English
LJ002-0037|leading to thirteen wards on various floors, and a day room.|English
LJ002-0038|"Of these wards, three were appropriated to the ""cabin side,"" so called because"|English
LJ002-0039|"they each contained four small rooms or ""cabins"" seven feet square,"|English
LJ002-0040|intended to accommodate a couple of prisoners apiece, but often much more crowded.|English
LJ002-0041|Two other wards were appropriated to the master's side debtors; they were each twenty-three feet by fourteen and a half,|English
LJ002-0042|and supposed to accommodate twenty persons. The eight remaining wards were for the common side debtors,|English
LJ002-0043|long narrow rooms -- one thirty-six feet, six twenty-three feet, and the eighth eighteen,|English
LJ002-0044|the whole about fifteen feet wide.|English
LJ002-0045|The various wards were all about eleven feet in height,|English
LJ002-0046|and were occupied as a rule by ten to fifteen people when the prison was not crowded, but double the number was occasionally placed in them.|English
LJ002-0047|The day room was fitted with benches and settles after the manner of the tap in a public-house.|English
LJ002-0048|two. The female debtors' side consisted of a court-yard forty-nine by sixteen feet,|English
LJ002-0049|leading to two wards, one of which was thirty-six feet by fifteen,|English
LJ002-0050|and the other eighteen by fifteen; and they nominally held twenty-two persons.|English
LJ002-0051|A high wall fifteen feet in height divided the females' court-yard from the men's.|English
LJ002-0052|three. The chapel yard was about forty-three feet by twenty-five.|English
LJ002-0053|It had been for some time devoted principally to felons of the worst types,|English
LJ002-0054|those who were the oldest offenders, sentenced to transportation, and who had narrowly escaped the penalty of death.|English
LJ002-0055|This arrangement was, however, modified after eighteen eleven, and the chapel yard was allotted to misdemeanants and prisoners awaiting trial.|English
LJ002-0056|The wards in this part were five in number, all in dimensions twenty feet by fifteen, with a sixth ward fifteen feet square.|English
LJ002-0057|These wards were all fitted with barrack-beds, but no bedding was supplied.|English
LJ002-0058|The chapel yard led to the chapel, and on the staircase were two rooms frequently set apart for the king's witnesses,|English
LJ002-0059|those who had turned king's evidence, whose safety might have been imperiled had they been lodged with the men against whom they had informed.|English
LJ002-0060|But these king's witnesses were also put at times into the press yard among the capital convicts, seemingly a very dangerous proceeding,|English
LJ002-0061|or they lodged with the gatesmen, the prisoner officers who had charge of the inner gates.|English
LJ002-0062|The middle yard was at first given up to the least heinous offenders. After eighteen twelve it changed functions with the chapel yard.|English
LJ002-0063|It was fifty feet by twenty-five, and had five wards each thirty-eight by fifteen. At one end of the yard was an arcade,|English
LJ002-0064|directly under the chapel, in which there were three cells, used either for the confinement of disorderly and refractory prisoners,|English
LJ002-0065|or female convicts ordered for execution.|English
LJ002-0066|The master felons' side consisted of a yard the same size as the preceding, appropriated nominally to the most decent and better-behaved prisoners,|English
LJ002-0067|but really kept for the few who had funds sufficient to gain them admission to these more comfortable quarters.|English
LJ002-0068|Here were also lodged the gatesmen, the prisoners who had charge of the inner gates, and who were entrusted with the duty of escorting visitors from the gates|English
LJ002-0069|to the various wards their friends occupied.|English
LJ002-0070|The state side was the part stolen from the female felons' side.|English
LJ002-0071|It was large and comparatively commodious, being maintained on a better footing than any other part of the prison.|English
LJ002-0072|The inmates were privileged, either by antecedents or the fortunate possession of sufficient funds to pay the charges of the place.|English
LJ002-0073|Neild takes it for granted that the former rather than the latter prevailed in the selection,|English
LJ002-0074|and tells us that in the state side, quote, such prisoners were safely associated whose manners and conduct evince a more liberal style of education,|English
LJ002-0075|and who are therefore lodged apart from all other districts of the jail. End quote.|English
LJ002-0076|The state side contained twelve good-sized rooms,|English
LJ002-0077|from twenty-one by eighteen feet to fifteen feet square, which were furnished with bedsteads and bedding.|English
LJ002-0078|seven. The press yard was that part set aside for the condemned.|English
LJ002-0079|Its name and its situation were the same as those of the old place of carrying out the terrible sentence inflicted on accused persons who stood mute.|English
LJ002-0080|The long narrow yard still remained as we saw it in Jacobite times,|English
LJ002-0081|and beyond it was now a day room for the capital convicts or those awaiting execution.|English
LJ002-0082|Beyond the press yard were three stories, condemned cells, fifteen in all, with vaulted ceilings nine feet high to the crown of the arch.|English
LJ002-0083|The ground floor cells were nine feet by six;|English
LJ002-0084|those on the first floor were rather larger on account of a set-off in the wall; and the uppermost were the largest, for the same reason.|English
LJ002-0085|Security was provided for in these condemned cells by lining the substantial stone walls with planks studded with broad-headed nails;|English
LJ002-0086|they were lighted by a double-grated window two feet nine inches by fourteen inches; and in the doors, which were four inches thick,|English
LJ002-0087|a circular aperture had been let in to give ventilation and secure a free current of air.|English
LJ002-0088|In each cell there was a barrack bedstead on the floor without bedding.|English
LJ002-0089|eight. The female felons were deprived of part of the space which the architect had intended for them.|English
LJ002-0090|More than half their quadrangle had been partitioned off for another purpose,|English
LJ002-0091|and what remained was divided into a master's and a common side for female felons.|English
LJ002-0092|The two yards were adjoining, that for the common side much the largest.|English
LJ002-0093|There were nine wards in all on the female side, one of them in the attic,|English
LJ002-0094|with four casements and two fireplaces, being allotted for a female infirmary|English
LJ002-0095|and the rest being provided with barrack beds, and in dimensions varying from thirty feet by fifteen to fifteen feet by ten.|English
LJ002-0096|The eight courts above enumerated were well supplied with water;|English
LJ002-0097|"they had dust-bins, sewers, and so forth, ""properly disposed,"" and the city scavenger paid periodical visits to the prison."|English
LJ002-0098|The prisoners had few comforts, beyond the occasional use of a bath at some distance, situated in the press yard,|English
LJ002-0099|to which access was granted rarely and as a great favor. But they were allowed the luxury of drink -- if they could pay for it.|English
LJ002-0100|A recent reform had closed the tap kept by the jailer within the precincts, but|English
LJ002-0101|"there was still a ""convenient room"" which served, and, quote,"|English
LJ002-0102|near it a grating through which the debtors receive their beer from the neighboring public-houses.|English
LJ002-0103|The felons' side has a similar accommodation, and this mode of introducing the beverage is adopted because no publican as such|English
LJ002-0104|can be permitted to enter the interior of this prison. End quote. The tap-room and bar were just behind the felons' entrance lodge,|English
LJ002-0105|"and beyond it was a room called the ""wine room,"" because formerly used for the sale of wine, but"|English
LJ002-0106|in which latterly a copper had been fixed for the cooking of provisions sent in by charitable persons.|English
LJ002-0107|Quote, On the top of the jail, continues Neild, are a watch-house and a sentry-box, where two or more guards, with dogs and firearms,|English
LJ002-0108|watch all night. Adjoining the felons' side lodge is the keeper's office, where the prison books are kept, and his clerk,|English
LJ002-0109|called the clerk of the papers, attends daily. End quote.|English
LJ002-0110|Having thus briefly described the plan and appropriation of the prison, I propose to deal now with the general condition of the inmates, and the manner of their life.|English
LJ002-0111|Of these the debtors, male and female, formed a large proportion.|English
LJ002-0112|The frequency and extent of processes against debtors seventy or eighty years ago will appear almost incredible|English
LJ002-0113|in an age when insolvent acts and bankruptcy courts do so much to relieve the impecunious,|English
LJ002-0114|and imprisonment for debt has almost entirely disappeared.|English
LJ002-0116|The number of processes against debtors annually was extraordinary.|English
LJ002-0117|Neild gives, on the authority of Mr. Burchell, the under sheriff of Middlesex,|English
LJ002-0118|a table showing the figures for the year ending Michaelmas eighteen oh two.|English
LJ002-0119|In that period upwards of two hundred thousand writs|English
LJ002-0120|had been issued for the arrests of debtors in the kingdom, for sums varying from fourpence to five hundred pounds and upwards.|English
LJ002-0121|Fifteen thousand of these were issued in Middlesex alone, which at that time was reckoned as only a fifteenth of Great Britain.|English
LJ002-0122|The number of arrests actually made was one hundred fourteen thousand, three hundred for the kingdom, and seven thousand twenty for Middlesex.|English
LJ002-0123|Barely half of these gave bail bonds on arrests, and the remainder went to prison.|English
LJ002-0124|Quite half of the foregoing writs and arrests applied to sums under thirty pounds.|English
LJ002-0125|Neild also says that in seventeen ninety-three,|English
LJ002-0126|five thousand, seven hundred nineteen writs and executions for debts between ten pounds and twenty pounds were issued in Middlesex,|English
LJ002-0127|and the aggregate amount of debts sued for was eighty-one thousand, seven hundred ninety-one pounds.|English
LJ002-0128|He also makes the curious calculation that the costs of these actions if undefended|English
LJ002-0129|would have amounted to sixty-eight thousand, seven hundred twenty-eight pounds, and if defended,|English
LJ002-0130|two hundred eighty-five thousand, nine hundred fifty pounds; in other words, that to recover eighty odd thousand pounds,|English
LJ002-0131|three times the amount would be expended.|English
LJ002-0132|An elaborate machinery planned for the protection of the trader, and altogether on his side, had long existed for the recovery of debts.|English
LJ002-0133|Alfred the Great established the Court Baron, the Hundred Court, and the County Court, which among other matters entertained pleas for debt.|English
LJ002-0134|The County Court was the sheriff's, who sat there surrounded by the bishop and the magnates of the county;|English
LJ002-0135|but as time passed, difficulties and delays in obtaining judgment led to the removal of causes to the great Court of King's Bench,|English
LJ002-0136|and the disuse of the inferior courts.|English
LJ002-0137|So much inconvenience ensued, that in fifteen eighteen the Corporation obtained from Parliament an act empowering two aldermen|English
LJ002-0138|and four common councilmen to hold Courts of Requests, or Courts of Conscience, to hear and determine all causes of debt|English
LJ002-0139|under forty shillings arising within the city.|English
LJ002-0140|These courts were extended two centuries later to several large provincial towns, and all were in full activity when Neild wrote,|English
LJ002-0141|and indeed supplied the bulk of the poor debtors committed to prison.|English
LJ002-0142|These courts were open to many and grave objections.|English
LJ002-0143|The commissioners who presided were, quote, little otherwise than self-elected|English
LJ002-0144|and when once appointed continued to serve sine die; they were generally near in rank to the parties whose causes they decided.|English
LJ002-0145|Often a commissioner had to leave the bench because he was himself a party to the suit that was sub judice.|English
LJ002-0146|The activity as well as the futility of these courts may be estimated from the statement given by Neild|English
LJ002-0147|that thirteen hundred and twelve debtors were committed by them to Newgate between seventeen ninety-seven and eighteen oh eight,|English
LJ002-0148|and that no more than one hundred ninety-seven creditors recovered debts and costs.|English
LJ002-0149|The latter indeed hung like millstones round the neck of the unhappy insolvent wretches who found themselves in limbo.|English
LJ002-0150|Costs were the gallons of sack to the pennyworth of debt.|English
LJ002-0151|Neild found at his visit to Newgate in eighteen ten,|English
